#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
84,Neblio,NEBL,"$17,890,961",$1.44,"12,429,458 *","$183,896",-0.39%,31.94%,28.53%
227,Ultimate Secu...,USC,"$1,341,947",$0.129743,"10,343,113","$174,284",27.68%,94.98%,159.79%
46,Particl,PART,"$56,701,438",$7.34,"7,724,634 *","$172,307",0.18%,-5.97%,2.03%
65,Diamond,DMD,"$25,409,667",$10.37,"2,450,731","$164,847",-0.35%,-4.02%,1.82%
64,Counterparty,XCP,"$26,097,486",$9.97,"2,617,704 *","$161,765",1.02%,-2.29%,-1.46%
121,Musicoin,MUSIC,"$8,254,455",$0.022789,"362,207,478","$155,143",-0.43%,-9.42%,1.12%
111,FlorinCoin,FLO,"$9,421,891",$0.068213,"138,124,570","$150,222",1.12%,-10.71%,-7.63%
207,Startcoin,START,"$2,027,337",$0.044972,"45,079,785","$136,805",-1.90%,-14.27%,-32.92%
171,Myriad,XMY,"$3,705,253",$0.002441,"1,517,688,000","$132,725",4.27%,2.04%,-0.51%
168,ZClassic,ZCL,"$3,833,301",$2.12,"1,809,800","$129,950",0.47%,-5.89%,9.87%
214,Rupee,RUP,"$1,651,564",$0.075108,"21,989,300","$129,339",6.36%,-19.72%,-1.21%
119,Groestlcoin,GRS,"$8,389,294",$0.122449,"68,512,554","$128,039",-2.68%,-4.78%,-22.15%
686,BTCGold,XBG,?,$0.009597,?,"$125,781",5.05%,-32.72%,1244.38%
110,Voxels,VOX,"$9,934,029",$0.047305,"210,000,000 *","$125,255",-0.36%,-7.32%,-2.69%
30,BitcoinDark,BTCD,"$124,222,213",$96.38,1288862,"$118,448",0.54%,-6.75%,4.42%
116,PinkCoin,PINK,"$8,807,960",$0.024343,"361,825,750","$118,069",1.07%,-2.78%,1.87%
103,Shift,SHIFT,"$12,829,646",$1.14,"11,252,693 *","$117,754",-2.32%,-5.28%,-10.77%
137,PoSW Coin,POSW,"$5,991,382",$0.135859,"44,100,000 *","$117,321",-1.22%,-12.05%,56.03%
67,Emercoin,EMC,"$25,172,817",$0.616742,"40,815,798","$116,650",-0.11%,-8.00%,-4.96%
92,PotCoin,POT,"$14,949,146",$0.068531,"218,137,937","$113,096",-1.87%,-13.90%,-9.72%
148,HTMLCOIN,HTML5,"$5,261,480",$0.000129,"40,659,020,000","$106,931",0.55%,1.86%,21.45%
68,Unobtanium,UNO,"$24,748,104",$125.10,"197,822","$104,319",0.43%,1.01%,25.32%
113,RaiBlocks,XRB,"$9,176,717",$0.076413,120094296,"$104,055",0.97%,-1.11%,-10.08%
58,NoLimitCoin,NLC2,"$33,444,476",$0.164108,"203,795,523 *","$103,210",1.36%,-1.48%,-15.75%
687,ClubCoin,CLUB,?,$0.402343,? *,"$102,469",-0.91%,-1.77%,-11.20%
79,SIBCoin,SIB,"$19,166,581",$1.23,"15,551,357","$102,367",0.97%,-2.88%,-7.15%
